apps,bondmode,time
is,802.3ad-4NICs-layer2,9.23
sp,802.3ad-4NICs-layer2,195.05
ft,802.3ad-4NICs-layer2,156.82
is,802.3ad-4NICs-layer2,9.21
alya,802.3ad-4NICs-layer2,900.55
cg,802.3ad-4NICs-layer2,44.61
sp,802.3ad-4NICs-layer2,193.59
ft,802.3ad-4NICs-layer2,93.70
lu,802.3ad-4NICs-layer2,109.27
lu,802.3ad-4NICs-layer2,107.93
sp,802.3ad-4NICs-layer2,192.46
is,802.3ad-4NICs-layer2,9.30
is,802.3ad-4NICs-layer2,17.00
mg,802.3ad-4NICs-layer2,12.37
,802.3ad-4NICs-layer2,
